"Categ";"CodCaract";"Caract";"CodValCaract";"ValCaract"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597585;"PROCESADOR: INTEL CORE I3-8500"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597586;"PROCESADOR: AMD RYZEN 7 PRO 2700X"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597587;"PROCESADOR: INTEL CORE I3-8350K"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597588;"PROCESADOR: INTEL CORE I9-9820X"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597589;"PROCESADOR: AMD RYZEN 7 PRO 2700G"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597590;"PROCESADOR: INTEL CORE I5-9400"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597591;"PROCESADOR: INTEL CORE I7-9700"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597592;"PROCESADOR: INTEL CORE I5-12500T"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597593;"PROCESADOR: INTEL CORE I7-12700T"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597595;"PROCESADOR: AMD RYZEN 5 PRO 4650GE"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597596;"PROCESADOR: AMD RYZEN 7 PRO 4750GE"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597597;"PROCESADOR: INTEL CORE I3-10305"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597598;"PROCESADOR: INTEL CORE I5-10505"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597599;"PROCESADOR: AMD RYZEN 3 4300GE"
"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597600;"PROCESADOR: AMD RYZEN 3 5300U"
