"id";"CorrBas36";"CodigoCorrelativo";"Categ";"CodCaract";"Caract";"CodValCaract";"ValCaract";"CleanValCaract";"Serializd";"PreTextValOnly";"ValueOnly"
83;"2B";"000000002B";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1722219;"PROCESADOR: INTEL CORE I9-13900K";"PROCESADOR: INTEL CORE I9-13900K";"PROCESADOR: INTEL CORE I9-13900K";"PROCESADOR";"INTEL CORE I9-13900K"
84;"2C";"000000002C";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";2489430;"PROCESADOR: INTEL CORE I5-14600K";"PROCESADOR: INTEL CORE I5-14600K";"PROCESADOR: INTEL CORE I5-14600K";"PROCESADOR";"INTEL CORE I5-14600K"
85;"2D";"000000002D";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";2489431;"PROCESADOR: INTEL CORE I7-14700K";"PROCESADOR: INTEL CORE I7-14700K";"PROCESADOR: INTEL CORE I7-14700K";"PROCESADOR";"INTEL CORE I7-14700K"
86;"2E";"000000002E";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";2489432;"PROCESADOR: INTEL CORE I9-14900K";"PROCESADOR: INTEL CORE I9-14900K";"PROCESADOR: INTEL CORE I9-14900K";"PROCESADOR";"INTEL CORE I9-14900K"
87;"2F";"000000002F";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597464;"PROCESADOR: INTEL COREI3-4100E";"PROCESADOR: INTEL COREI3-4100E";"PROCESADOR: INTEL COREI3-4100E";"PROCESADOR";"INTEL COREI3-4100E"
88;"2G";"000000002G";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597465;"PROCESADOR: INTEL COREI5-4400E";"PROCESADOR: INTEL COREI5-4400E";"PROCESADOR: INTEL COREI5-4400E";"PROCESADOR";"INTEL COREI5-4400E"
89;"2H";"000000002H";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597466;"PROCESADOR: INTEL COREI5-6440EQ";"PROCESADOR: INTEL COREI5-6440EQ";"PROCESADOR: INTEL COREI5-6440EQ";"PROCESADOR";"INTEL COREI5-6440EQ"
90;"2I";"000000002I";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597467;"PROCESADOR INTEL COREI7-2710QE";"PROCESADOR: INTEL COREI7-2710QE";"PROCESADOR: INTEL COREI7-2710QE";"PROCESADOR";"INTEL COREI7-2710QE"
91;"2J";"000000002J";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597468;"PROCESADOR INTEL COREI3-2330E";"PROCESADOR: INTEL COREI3-2330E";"PROCESADOR: INTEL COREI3-2330E";"PROCESADOR";"INTEL COREI3-2330E"
92;"2K";"000000002K";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597469;"PROCESADOR INTEL COREI7-4700EQ";"PROCESADOR: INTEL COREI7-4700EQ";"PROCESADOR: INTEL COREI7-4700EQ";"PROCESADOR";"INTEL COREI7-4700EQ"
93;"2L";"000000002L";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597470;"PROCESADOR: INTEL CORE I7-8700";"PROCESADOR: INTEL CORE I7-8700";"PROCESADOR: INTEL CORE I7-8700";"PROCESADOR";"INTEL CORE I7-8700"
94;"2M";"000000002M";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597471;"PROCESADOR: INTEL CORE I7-8700K";"PROCESADOR: INTEL CORE I7-8700K";"PROCESADOR: INTEL CORE I7-8700K";"PROCESADOR";"INTEL CORE I7-8700K"
95;"2N";"000000002N";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597472;"PROCESADOR: AMD A8-9600";"PROCESADOR: AMD A8-9600";"PROCESADOR: AMD A8-9600";"PROCESADOR";"AMD A8-9600"
96;"2O";"000000002O";"COMPUTADORA DE ESCRITORIO";26211;"PROCESADOR";1597473;"PROCESADOR INTEL CORE I3-8350K";"PROCESADOR: INTEL CORE I3-8350K";"PROCESADOR: INTEL CORE I3-8350K";"PROCESADOR";"INTEL CORE I3-8350K"
